日期,cp,pb,pe
2019/1/29,2455.9,1.3244491144302888,9.257112023237507
2019/1/28,2437.03,1.3230966739082666,9.210372812330881
2019/1/25,2441.64,1.317376611505345,9.121357722187993
2019/1/24,2411.56,1.2956175411837905,8.983947602026037
2019/1/23,2397.05,1.2910479315611836,8.861100624406053
2019/1/22,2401.23,1.2938333150329546,8.844636339392293
2019/1/21,2432.49,1.3231830310340291,9.016340406750274
2019/1/18,2417.36,1.3112690354306504,8.962388098120579
2019/1/17,2371.35,1.288124775929387,8.89749787777996
2019/1/16,2381.22,1.3020033533694373,8.947745295786497
2019/1/15,2378.37,1.293231096807431,8.897802547807784
2019/1/14,2331.14,1.288512222833838,8.832912327467167
2019/1/11,2354.5,1.3076285526727258,8.914450130467355
2019/1/10,2331.85,1.3017585649812458,8.847555129801249
