date,cp,pb,pe,pb_percentile,pe_percentile,fifty_median,hundred_median
2016/5/20,4287.74,1.5722606526658354,10.587693290125411,24.39143135345667,13.777994157740993,4355.0916,4318.7113
2016/5/19,4269.75,1.5584595800901055,10.591020660738273,22.55236239649294,13.784705309303458,4355.0864,4326.222699999999
2016/5/18,4289.18,1.5701374107311077,10.584365919512551,23.976608187134502,13.645224171539962,4355.3584,4333.940500000001
2016/5/17,4259.13,1.5357319484812353,10.484544801126702,19.746465138956605,12.530472940029254,4354.7,4339.9706
2016/5/16,4269.05,1.5329806768733736,10.51781850725532,19.463414634146343,12.731707317073171,4355.335999999999,4346.0042
2016/5/13,4261.08,1.5414736446122843,10.554419583996797,20.40019521717911,13.225963884821864,4353.0076,4351.4081
2016/5/12,4275.12,1.5499666123511948,10.551092213383935,21.4111328125,12.98828125,4350.378199999999,4356.936
2016/5/11,4250.94,1.534042297840737,10.398033165192304,19.540791402051784,11.72447484123107,4344.9086,4363.1756
2016/5/10,4245.83,1.538288781710193,10.378068941515137,19.990224828934505,11.583577712609971,4338.846399999999,4367.8567
2016/5/9,4259.99,1.5499666123511948,10.368086829676551,21.320293398533007,11.491442542787286,4333.3246,4372.816699999999
2016/5/6,4320.91,1.5878056179987026,10.447943724385228,25.684931506849313,12.03522504892368,4326.6768,4377.7378
2016/5/5,4412.9,1.6337010555395213,10.643774468813904,31.008321096426823,13.999021047479197,4322.818,4382.0223
2016/5/4,4415.75,1.6337010555395213,10.637498658395971,30.99902056807052,13.907933398628796,4316.8584,4385.7884
2016/5/3,4422.19,1.6442923103566331,10.737911625082896,32.38608525232729,14.99265066144047,4312.0382,4389.6091
2016/4/29,4384.43,1.6134011504733898,10.076585490572675,28.676470588235293,9.215686274509803,4305.017999999999,4394.8212
2016/4/28,4408.76,1.616048964177668,10.239111063001268,28.788621873467385,10.446297204512016,4298.9402,4400.2772
2016/4/27,4411.91,1.6425729495310697,10.29715591029719,32.13935230618253,10.84396467124632,4292.4836,4402.8151
2016/4/26,4436.43,1.6654748199908571,10.552553238399264,34.56062837506136,12.763868433971528,4285.6624,4405.4003
2016/4/25,4419.54,1.652184884866427,10.256641619669024,33.30058939096267,10.55992141453831,4276.2016,4407.5601
2016/4/22,4439.36,1.7650428708282948,10.427993627634851,43.53808353808354,11.597051597051598,4267.8644,4412.147099999999
2016/4/21,4412.94,1.7418821114516525,10.336197909081726,41.64208456243855,11.160275319567354,4259.596399999999,4416.8644
2016/4/20,4426.46,1.7615859356409014,10.5381484898986,43.18740777176586,12.49385145105755,4250.8454,4421.6363
2016/4/19,4424.06,1.7462725527790743,10.672782210443183,41.92913385826772,14.0748031496063,4242.553,4426.2857
2016/4/18,4410.16,1.7386158613481608,10.623824493881514,41.457410142786806,13.392417528311176,4233.14,4431.175800000001
2016/4/15,4454.96,1.7495539919637515,10.788792552181613,41.995073891625616,15.147783251231527,4225.3714,4436.3802
2016/4/14,4442.33,1.7511947115560904,10.798910206966408,42.08969935929029,15.327747658945293,4214.239,4440.4214
2016/4/13,4426.12,1.7451787397175151,10.76181213942217,41.814595660749504,14.842209072978303,4204.382,4444.952899999999
