cp,date,fifty_median,hundred_median,pb,pb_percentile,pe,pe_percentile
16494.8398,2006/5/15,16242.293146,15837.819938999995,2.0363544181041906,71.46496815286625,13.781590863734362,13.56687898089172
16901.8496,2006/5/12,16231.394142,15822.715545,2.064780307046817,74.05991077119184,14.093504685908576,16.826003824091778
17140.7793,2006/5/11,16210.478146,15802.802147,2.072581931314584,74.93622448979592,14.208418968347305,18.62244897959184
17080.5898,2006/5/10,16183.913166,15780.185956,2.0818917279431983,76.51563497128271,14.11165759347042,16.975111678366307
17133.9902,2006/5/9,16155.015764000002,15760.729560000002,2.090965787978555,78.544061302682,14.205612602412975,18.51851851851852
17301.7891,2006/5/8,16124.880763999998,15739.295761999998,2.0959868041178824,79.10543130990416,14.510166553377273,24.153354632587856
17013.9297,2006/5/4,16090.81838,15717.866074,2.0974183950266827,79.28388746803068,14.528859101309836,24.360613810741693
17026.9805,2006/5/3,16060.053593999995,15699.730576,2.0992117588104,79.52655150351887,14.651402802590669,26.231605886116448
16868.0391,2006/5/2,16028.531582,15680.141074000001,2.0915144395280434,78.74519846350832,14.561400588604947,25.09603072983355
16661.3008,2006/4/28,15999.635996,15660.832079,2.050311877695637,72.45355541319667,14.538498228255925,24.599615631005765
16742.8496,2006/4/27,15974.816386000002,15644.506669,2.0233341462057024,71.08974358974359,14.566938101071266,25.06410256410257
16672.6602,2006/4/26,15946.20119,15628.078172999998,2.013003692883541,70.42976266837717,14.454039234690685,23.284156510583703
16577.7695,2006/4/25,15921.266989999998,15612.166268,2.0006367993540346,69.06290115532734,14.391593621649251,22.01540436456996
16705.6699,2006/4/24,15897.980193999998,15597.232469000002,2.019879607616859,70.90558766859345,14.588999872609255,25.112395632626853
16912.1504,2006/4/21,15871.335603999998,15580.799266000002,2.0558620462004082,73.52185089974294,14.766618946123431,27.05655526992288
16944.3398,2006/4/20,15843.432791999998,15560.534266,2.0613409894913106,73.89067524115755,14.540635688937517,24.565916398713828
16830.4395,2006/4/19,15815.507188,15539.946571000002,2.0355422104972813,71.87902187902188,14.553156925233536,24.77477477477477
16637.5293,2006/4/18,15787.493007999998,15520.475379,2.0230121281929443,71.15260785576305,14.46424705839705,23.502897617514485
16429.4492,2006/4/13,15768.57623,15501.979890999999,2.007361396181499,70.23195876288659,14.830167024443975,27.899484536082483
16310.7598,2006/4/12,15754.833242,15484.190799000002,1.994045216015896,68.66537717601547,14.506668692203071,24.113475177304963
16475.8105,2006/4/11,15743.680838000002,15467.357303000004,2.0018824528905963,69.61290322580646,14.73288896299757,26.64516129032258
