日期,cp,pb,pe
2012/5/15,2617.37,2.3773675872844535,22.388086288409667
2012/5/14,2615.53,2.368563327757543,22.337726524648417
2012/5/11,2636.92,2.3944507132180144,22.355337135463234
2012/5/10,2657.21,2.394697721207327,22.359217382928172
2012/5/9,2657.51,2.408457633156957,22.47890153541487
2012/5/8,2709.12,2.4625912943842474,23.099110229242363
2012/5/7,2717.78,2.470861084576507,23.254879532490705
2012/5/4,2715.88,2.4617924556551216,23.172576471040834
2012/5/3,2691.52,2.4368114537690575,22.75974865180457
2012/5/2,2683.49,2.414688742860343,22.671790565527154
2012/4/27,2626.16,2.378191372702628,21.5996150159897
2012/4/26,2631.49,2.414937424873842,21.456808185218684
2012/4/25,2625.99,2.402604864229006,20.799661065689257
2012/4/24,2604.87,2.3797134235433255,20.68733708447077
2012/4/23,2606.04,2.4329993619103902,20.53334865860501
2012/4/20,2626.84,2.4424031458301103,20.896308150988453
2012/4/19,2596.06,2.4192470688645624,20.66050688073446
2012/4/18,2599.91,2.4080638528669938,20.70039004256617
2012/4/17,2541.88,2.3440346939984207,20.054466247206452
2012/4/16,2574.04,2.381570955088687,20.255562652746114
2012/4/13,2580.45,2.40653073006812,20.272698317495554
2012/4/12,2570.44,2.3800764854720584,20.168102412804977
2012/4/11,2520.04,2.349069880225909,19.66959021931786
2012/4/10,2519.79,2.354977382067828,19.634153918222548
2012/4/9,2495.15,2.315356793947368,19.244877427251538
2012/4/6,2519.83,2.353706522537101,19.687127986022126
2012/4/5,2512.83,2.3419310918572114,19.495547844801777
2012/3/30,2454.9,2.284890821153286,18.822637595358522
2012/3/29,2443.12,2.2757233654555242,18.9519978588569
2012/3/28,2474.9,2.3501785829134656,19.167290632299753
2012/3/27,2547.14,2.427298912718048,19.941757675418387
2012/3/26,2555.44,2.439562675010274,19.571646349377446
2012/3/23,2552.94,2.4503614060539576,19.643887168563392
2012/3/22,2583.75,2.4796638862130234,20.115247018970734
2012/3/21,2587.79,2.509752559386122,20.237340891591536
2012/3/20,2584.45,2.4950741045268607,20.26300247127881
2012/3/19,2630.01,2.5550808777193064,20.721454762265935
2012/3/16,2623.52,2.551290029602813,20.476614240609635
2012/3/15,2585.55,2.530499138023882,19.84465511849599
2012/3/14,2605.11,2.5563145857830105,20.099509123961568
2012/3/13,2681.07,2.635749452871982,20.942741223726514
2012/3/12,2654.4,2.6038905481856913,20.70015831027974
2012/3/9,2664.3,2.575367857927793,20.685472165220574
2012/3/8,2635.79,2.5575034384340425,20.462472270610938
2012/3/7,2603.0,2.5267349030526067,20.030767880807574
